oid,index,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF24aaizqxi,0,SDSS J170812.21+382842.9,257.050857808976,38.4785832519121,2.9045730405159724,0.2703818752264667,3.0748092206408497,SDSSDR16,False,0.253132,0.032879,photoz
ZTF24aaizpno,1,SDSS J160127.17+325001.3,240.363218248806,32.8337014990636,2.011264420856142,0.1884591128425179,2.1449274176407034,SDSSDR16,False,0.311997,0.0523,photoz
ZTF24aaizmiz,2,2MASX J16023495+3652592,240.6457208333333,36.88262777777778,4.301235432373596,0.6248580968279723,4.903654894433622,Simbad,True,0.08246,0.0001500000071246,C
ZTF24aaizlba,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aaizknm,4,SDSS J153348.62+061242.7,233.45259717998,6.2118640681161,0.6995652476448656,0.8273841496874882,0.1486992990939098,SDSSDR16,False,0.533026,0.189422,photoz
ZTF24aaizjyc,5,SDSS J161559.91+203358.6,243.999641582058,20.5662803249786,1.6113242151448024,0.5590909668835147,1.4991796269841886,SDSSDR16,False,0.176059,0.037067,photoz
ZTF24aaizjkc,6,SDSS J162607.78+195233.3,246.532421519098,19.875924887886,0.9135234688814444,0.6257062621096285,0.9449767160544832,SDSSDR16,False,0.315907,0.165188,photoz
ZTF24aaizdtj,7,SDSS J160849.05+380842.1,242.204358513989,38.1450456408814,0.3381819470564894,0.4270815254212735,0.2826705408490233,SDSSDR16,False,0.426869,0.145144,photoz
ZTF24aaizclt,8,SDSS J151105.14+040431.3,227.77143,4.07538,0.0928079682011688,0.0772869036664855,0.0214802614469946,NED,False,NULL,NULL,NULL
ZTF24aaiyrta,9,SDSS J121537.58+061958.3,183.906587870627,6.33287175188357,1.9091659950681965,0.2625061863045748,2.1430122575102035,SDSSDR16,False,0.255468,0.027929,photoz
ZTF24aaiykod,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aaixoff,11,SDSS J112539.77+370208.4,171.415725347406,37.0356755204752,3.269418754060629,0.1733641424967873,3.434370204498091,SDSSDR16,False,0.247025,0.042398,photoz
ZTF24aaixkul,12,SDSS J112623.08+153003.5,171.59618459729,15.500971712731,1.8668526817592728,0.6139446819423126,2.464195013870332,SDSSDR16,False,0.171445,0.033224,photoz
ZTF24aaiwcfx,13,SDSS J151222.43+072804.4,228.093443736251,7.46790904907805,0.552239322754686,2.949959453304813,2.6817924264941326,SDSSDR16,False,0.37295,0.11419,photoz
ZTF24aaiwcbu,14,SDSS J150517.42+044344.3,226.322569044619,4.72899510639947,2.6392243895022247,0.0974473414042683,2.7213357407843426,SDSSDR16,False,0.231304,0.030473,photoz
ZTF24aaivzwz,15,SDSS J162136.06+155744.1,245.400247582676,15.9622494157548,0.5474490101663889,0.4895078930450086,0.0606524900654312,SDSSDR16,False,0.253193,0.131583,photoz
ZTF24aaivzpj,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aaivzpi,17,SDSS J160703.34+193525.9,241.763936938103,19.5905437684661,1.8289821950436644,0.4772096335787292,1.8747061549002009,SDSSDR16,False,0.130339,0.037994,photoz
ZTF24aafawjm,18,WISEA J132535.82-263400.3,201.39925,-26.56677,0.0889458030515553,0.1247203736689706,0.0558283781617328,NED,False,NULL,NULL,NULL
ZTF18aarndye,19,SDSS J121902.53+222416.5,184.760554935461,22.4045968249942,0.4440057873178287,0.2630142609621668,0.2453929771087616,SDSSDR16,True,0.2034782,4.515038e-05,specz
