oid,level_0,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index
ZTF24aapckni,0,WISEA J191736.95+525317.3,289.40392,52.88817,4.659072765014637,0.9705361361193504,4.6532462670301085,NED,False,0.11565,NULL,PUN,NULL
ZTF24aapciba,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aapbtpw,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aapbpoz,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aapanae,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aapalwa,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aapadbb,6,WISEA J152158.23+624824.8,230.49259,62.80709,4.87886678408027,0.5473822304649759,5.129669534893281,NED,False,NULL,NULL,NULL,NULL
ZTF24aapabru,7,SDSS J140305.48+201057.9,210.772833670262,20.1827521820689,2.0348323987932404,0.288917802511924,2.2675874708569213,SDSSDR16,False,0.18158,0.031626,photoz,NULL
ZTF24aaozxhx,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aaozqbz,9,SDSS J130915.44-021738.6,197.314348589493,-2.29406064095696,1.9904929324246012,0.2427906676834746,1.7479584799316608,SDSSDR16,False,0.393998,0.205528,photoz,NULL
ZTF24aaozczu,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aaoyzzi,11,SDSS J104928.25+323616.4,162.36772635786,32.604575775163,3.0371507636770056,0.381231995563085,2.817115527437578,SDSSDR16,True,0.08316219,1.769097e-05,specz,NULL
ZTF24aaowbmw,12,LEDA 1358101,228.85672083333333,9.01978888888889,4.947609001216596,3.29596506151799,8.110681089118868,Simbad,True,0.03319,7.999999797903001e-05,C,NULL
ZTF24aaowblc,13,SDSS J153749.26+121903.5,234.455238698486,12.3176515286554,2.871494824329931,3.317302062081515,1.045618963954818,SDSSDR16,False,0.101791,0.043581,photoz,NULL
ZTF24aaowbji,14,SDSS J155457.39+171146.9,238.739110981427,17.1963841509002,2.194472926441149,0.0430983115472393,2.2071806340390334,SDSSDR16,False,0.188943,0.063174,photoz,0.0
ZTF24aaowaxt,15,SDSS J163238.29+160057.8,248.159532476876,16.0160722769819,2.5556535989631604,0.7199727072240514,2.045455553377544,SDSSDR16,False,0.226579,0.119936,photoz,1.0
ZTF24aaovpei,16,WISEA J173244.20+124746.4,263.1842,12.79624,2.6087489016947254,0.1835879740580943,2.657278227234367,NED,False,NULL,NULL,NULL,2.0
ZTF24aaovokk,17,SDSS J160751.47+484524.4,241.964439426594,48.7567836738878,2.1796743008120014,0.3513644531414894,2.4722006964848147,SDSSDR16,True,0.0402576,1.059106e-05,specz,3.0
ZTF24aaovohi,18,SDSS J144139.93+364421.9,220.416372630955,36.7394287805567,4.318413373736043,1.514569060350307,4.814450238294572,SDSSDR16,True,0.03041219,2.049466e-05,specz,4.0
ZTF24aaovnhf,19,SDSS J150748.60+181057.2,226.952497191943,18.1825719817472,0.5089953741837735,0.2552244821678949,0.716951983599356,SDSSDR16,False,0.201037,0.064006,photoz,5.0
ZTF24aaovcjw,20,SDSS J112902.85+255205.3,172.261891534404,25.868164637763,5.009937828672442,0.4136944747323313,4.643306629833107,SDSSDR16,False,0.125781,0.015038,photoz,6.0
ZTF24aaouxbr,21,SDSS J110915.50+271650.9,167.314597030157,27.280823274494,0.5242647561391838,4.786654088437885,4.262511917292619,SDSSDR16,False,0.144234,0.097469,photoz,7.0
ZTF24aaouvhf,22,SDSS J114639.67+090258.8,176.66528268862,9.04968242882922,0.4816623191434805,0.2786521448030202,0.2924444922828526,SDSSDR16,False,0.223881,0.05845,photoz,8.0
ZTF24aaotrva,23,LEDA 1852091,232.85123791666663,28.98328861111111,2.638148978862061,1.8973598210565368,4.496261257758971,Simbad,True,0.08641,1.9999999494757503e-05,C,9.0
ZTF24aaotkrh,24,WISEA J141918.32-035105.7,214.82667,-3.85151,1.176866985503289,1.1085547808087182,0.241747991238139,NED,False,NULL,NULL,NULL,10.0
ZTF24aaoskeh,25,SDSS J122151.50+074732.4,185.464564843161,7.79234298758336,0.3257836388679966,0.2440350864653044,0.115321854859152,SDSSDR16,False,0.130196,0.034992,photoz,11.0
ZTF24aaofibr,26,SDSS J153858.05+153755.3,234.741875790093,15.6320472003186,0.990126950310748,0.1544234292610118,1.040017615047435,SDSSDR16,False,0.102223,0.025152,photoz,12.0
ZTF24aaoeqjw,27,SDSS J144255.35+200424.0,220.730608312556,20.0733578084079,2.184246258859572,0.2673053302550363,1.9517140979209973,SDSSDR16,True,0.1497105,1.03134e-05,specz,13.0
